ID,left_forefemur,left_foretibia,left_ear,right_forefemur,right_foretibia,right_ear
WJST,12.389,12.866,3.478,12.166,12.735,3.46
WKXK,12.697,12.595,,12.711,13.462,3.101
WNVZ,11.99,12.737,2.901,12.052,12.058,2.895
WQOI,13.886,14.394,3.556,13.641,14.167,3.606
WQRK,12.47,13.267,3.147,12.104,13.318,2.953
WSXA,10.972,11.843,2.379,10.978,11.708,2.381
WWFJ,11.06,11.745,2.314,10.46,11.392,2.408
WYMS,11.012,11.462,2.578,,,
XDBU,12.405,13.477,3.159,11.863,13.044,3.178
XKES,12.739,13.644,3.121,12.465,12.945,3.112
XMEN,11.365,12.176,2.421,10.969,11.678,2.416
XNIH,11.157,12.321,2.893,10.884,11.923,2.864
XOAF,11.613,12.248,2.629,11.396,11.96,2.55
XQBJ,13.573,13.836,3.215,13.03,13.149,2.969
XQHC,12.55,13.729,3.056,,,
XRPL,12.526,13.185,3.041,11.735,12.9,3.088
XVQB,11.907,12.836,2.897,11.459,12.339,2.504
XWCJ,12.154,,,11.484,12.411,2.759
YAKT,10.338,11.136,2.296,9.699,10.74,2.144
YBYC,13.281,13.351,2.754,12.873,13.001,2.638
YCTD,10.38,11.547,2.445,10.271,,
YFAT,13.471,14.591,3.83,13.031,13.666,3.654
YGFO,,,,11.188,11.939,2.435
YMRF,11.006,12.648,2.244,11,12.188,2.632
YNBA,12.738,12.924,3.436,12.576,12.888,3.096
YNFN,12.273,12.71,2.913,11.588,12.299,2.818
YNZS,12.847,13.569,3.049,12.515,13.334,2.961
YRUA,11.829,12.09,2.805,11.749,12.281,3.004
YRUH,12.204,13.01,2.933,12.305,13.141,3.357
YSQQ,9.956,11.5,2.562,9.776,10.792,2.086
YUWR,11.271,12.175,2.666,10.762,11.625,2.356
YYNS,12.67,13.389,3.617,11.796,12.453,3.327
YZUH,10.934,11.514,2.137,10.383,11.166,1.801
ZAQJ,10.102,11.133,2.304,10.014,10.883,2.403
ZAVH,10.605,11.63,2.383,10.3,11.144,2.074
ZFKD,10.428,11.499,2.386,10.159,11.34,2.218
ZFXN,12.955,13.955,3.435,12.372,13.924,2.964
ZIER,13.693,13.782,2.664,13.404,13.504,3.072
ZRDE,13.663,14.101,3.304,13.326,13.833,2.957
ZSUF,10.698,11.324,2.197,10.736,11.778,2.527
ZVNV,13.94,14.03,2.988,13.119,13.329,2.966
ZWYP,12.581,13.402,3.116,11.916,13.275,3.054
