 ,Label,Length
345,TKBC-3rd leg-left.jpg:1071-1958,19.164
346,TKBC-3rd leg-left.jpg:2289-1968,21.134
347,TKBC-3rd leg-right.jpg:1985-3326,19.108
348,TKBC-3rd leg-right.jpg:2634-2925,21.024
349,TKSH-3rd leg-left.jpg:0938-2117,19.697
350,TKSH-3rd leg-left.jpg:1730-2085,22.329
351,TKSH-3rd leg-right.jpg:1763-2064,19.504
352,TKSH-3rd leg-right.jpg:1428-2517,22.386
353,TRCQ-3rd leg-left.jpg:2010-3027,20.284
354,TRCQ-3rd leg-left.jpg:1331-2990,21.556
355,TRCQ-3rd leg-right.jpg:1473-1847,19.765
356,TRCQ-3rd leg-right.jpg:1011-2355,21.598
357,TSNP-3rd leg-left.jpg:1094-1818,19.577
358,TSNP-3rd leg-left.jpg:1803-1836,21.379
359,TSNP-3rd leg-right.jpg:2036-1674,18.54
360,TSNP-3rd leg-right.jpg:0842-2241,20.948
361,TSPY-3rd leg-left.jpg:0807-2145,18.399
362,TSPY-3rd leg-left.jpg:1526-2072,19.821
363,TSPY-3rd leg-right.jpg:2114-1605,17.741
364,TSPY-3rd leg-right.jpg:1485-2118,19.657
365,TWQN-3rd leg- left.jpg:1643-3165,16.979
366,TWQN-3rd leg- left.jpg:1638-2177,NA
365,TWQN-3rd leg- right.jpg:1643-3165,NA
366,TWQN-3rd leg- right.jpg:1638-2177,NA
367,TYRB-3rd leg-left.jpg:1055-2271,18.083
368,TYRB-3rd leg-left.jpg:1575-2205,18.607
369,TYRB-3rd leg-right.jpg:1967-1860,18.407
370,TYRB-3rd leg-right.jpg:1538-2166,18.789
371,UCYK-3rd leg-left.jpg:1050-2337,18.703
372,UCYK-3rd leg-left.jpg:1830-2142,21.016
373,UCYK-3rd leg-right.jpg:1494-3414,18.652
374,UCYK-3rd leg-right.jpg:2636-2880,20.505
375,UHRS-3rd leg-left.jpg:2387-3005,18.644
376,UHRS-3rd leg-left.jpg:1545-3012,20.612
377,UHRS-3rd leg-right.jpg:1536-3686,18.8
378,UHRS-3rd leg-right.jpg:2114-3053,20.012
379,UKOQ-3rd leg-left.jpg:2223-3216,19.607
380,UKOQ-3rd leg-left.jpg:1697-3126,21.563
381,UKOQ-3rd leg-right.jpg:1602-3098,19.495
382,UKOQ-3rd leg-right.jpg:1899-2663,21.746
383,ULBD-3rd leg-left.jpg:1338-2018,19.454
384,ULBD-3rd leg-left.jpg:1955-2021,21.381
385,ULBD-3rd leg-right.jpg:1344-3462,19.295
386,ULBD-3rd leg-right.jpg:2046-2762,21.378
387,UMXA-3rd leg-left.jpg:1391-2295,19.712
388,UMXA-3rd leg-left.jpg:2042-2349,21.985
389,UMXA-3rd leg-right.jpg:1721-1896,19.907
390,UMXA-3rd leg-right.jpg:1167-2292,21.593
391,UNBX-3rd leg-left.jpg:0707-1979,16.35
392,UNBX-3rd leg-left.jpg:1997-1652,18.445
393,UNBX-3rd leg-right.jpg:1521-1665,16.609
394,UNBX-3rd leg-right.jpg:1407-2177,18.036
395,UPBJ-3rd leg-left.jpg:1031-2633,20.337
396,UPBJ-3rd leg-left.jpg:1724-2480,21.731
397,UPBJ-3rd leg-right.jpg:1571-1911,20.824
398,UPBJ-3rd leg-right.jpg:1145-2300,21.671
399,UQVJ-3rd leg-left.jpg:0764-2225,17.518
400,UQVJ-3rd leg-left.jpg:1715-2108,19.716
401,UQVJ-3rd leg-right.jpg:1605-1898,17.176
402,UQVJ-3rd leg-right.jpg:1229-2327,19.245
403,UWVR-3rd leg-left.jpg:1752-3030,19.297
404,UWVR-3rd leg-left.jpg:1478-2639,21.114
405,UWVR-3rd leg-right.jpg:1275-1707,19.361
406,UWVR-3rd leg-right.jpg:1094-2148,21.315
407,UYSP-3rd leg-left.jpg:0966-2070,19.131
408,UYSP-3rd leg-left.jpg:1695-1982,21.081
409,UYSP-3rd leg-right.jpg:1739-3456,20.267
410,UYSP-3rd leg-right.jpg:2241-2930,20.779
411,VDBS-3rd leg-left.jpg:0933-2033,20.917
412,VDBS-3rd leg-left.jpg:1667-2051,22.908
413,VDBS-3rd leg-right.jpg:1502-1991,20.723
414,VDBS-3rd leg-right.jpg:1131-2597,23.167
415,VDVI-3rd leg-left.jpg:0839-2175,20.696
416,VDVI-3rd leg-left.jpg:1836-1847,22.325
417,VDVI-3rd leg-right.jpg:1650-3114,20.919
418,VDVI-3rd leg-right.jpg:2561-2445,22.001
419,VECM-3rd leg-left.jpg:2603-3149,17.95
420,VECM-3rd leg-left.jpg:1508-3048,19.607
421,VECM-3rd leg-right.jpg:1820-3377,18.029
422,VECM-3rd leg-right.jpg:2652-2835,19.071
423,VFCQ-3rd leg-left.jpg:0918-2928,16.085
424,VFCQ-3rd leg-left.jpg:1601-2606,16.851
425,VFCQ-3rd leg-right.jpg:1785-1349,16.482
426,VFCQ-3rd leg-right.jpg:0857-1848,17.242
427,VFPH-3rd leg-left.jpg:2258-2984,19.66
428,VFPH-3rd leg-left.jpg:1391-3210,20.681
429,VFPH-3rd leg-right.jpg:1440-2079,20.492
430,VFPH-3rd leg-right.jpg:0996-2540,20.95
431,VGLK-3rd leg-left.jpg:1806-3375,18.742
432,VGLK-3rd leg-left.jpg:1343-2690,20.91
433,VGLK-3rd leg-right.jpg:1670-3395,18.369
434,VGLK-3rd leg-right.jpg:2412-2849,20.382
435,VHBT-3rd leg-left.jpg:2300-3164,20.377
436,VHBT-3rd leg-left.jpg:1634-3179,23.725
437,VHBT-3rd leg-right.jpg:1820-3330,20.262
438,VHBT-3rd leg-right.jpg:2105-2694,23.215
439,VJOC-3rd leg-left.jpg:1782-2018,20.691
440,VJOC-3rd leg-left.jpg:2252-2586,22.89
441,VJOC-3rd leg-right.jpg:1982-2354,21.333
442,VJOC-3rd leg-right.jpg:1209-2442,22.283
443,VJTT-3rd leg-left.jpg:0794-2057,19.059
444,VJTT-3rd leg-left.jpg:1721-1881,21.599
445,VJTT-3rd leg-right.jpg:1740-3548,20
446,VJTT-3rd leg-right.jpg:2199-2972,22.094
447,VNSP-3rd leg-left.jpg:0887-2091,16.469
448,VNSP-3rd leg-left.jpg:1884-2274,19.478
449,VNSP-3rd leg-right.jpg:1959-3135,16.84
450,VNSP-3rd leg-right.jpg:2187-2687,18.831
451,VNVH-3rd leg-left.jpg:2538-3012,19.846
452,VNVH-3rd leg-left.jpg:1259-3132,21.699
453,VNVH-3rd leg-right.jpg:1476-3719,18.892
454,VNVH-3rd leg-right.jpg:2702-2763,21.808
455,VUNA-3rd leg-left.jpg:2201-3041,19.931
456,VUNA-3rd leg-left.jpg:1709-2985,22.8
457,VUNA-3rd leg-right.jpg:1172-3044,20.238
458,VUNA-3rd leg-right.jpg:1637-2696,23.239
459,WDBI-3rd leg-left.jpg:1400-2150,18.243
460,WDBI-3rd leg-left.jpg:1973-2076,18.992
461,WDBI-3rd leg-right.jpg:1239-3273,18.133
462,WDBI-3rd leg-right.jpg:2352-2958,19.352
463,WHQS-3rd leg-left.jpg:0870-2321,19.679
464,WHQS-3rd leg-left.jpg:1034-0479,NA
465,WHQS-3rd leg-right.jpg:1706-2159,19.193
466,WHQS-3rd leg-right.jpg:1275-2606,21.57
467,WHVM-3rd leg-left.jpg:1233-2301,18.992
468,WHVM-3rd leg-left.jpg:1836-2223,20.099
469,WHVM-3rd leg-right.jpg:1374-2151,18.702
470,WHVM-3rd leg-right.jpg:2759-2735,19.69
471,WJST-3rd leg-left.jpg:1218-1977,20.466
472,WJST-3rd leg-left.jpg:1980-2001,21.868
473,WJST-3rd leg-right.jpg:1967-1976,19.561
474,WJST-3rd leg-right.jpg:1430-2514,21.542
475,WKXK-3rd leg-left.jpg:1499-3416,19.306
476,WKXK-3rd leg-left.jpg:1122-2870,20.783
477,WKXK-3rd leg-right.jpg:1380-3147,18.692
